Z,Do,Linia,Numer,Odlot,Przylot,Od,Do,Dni,Samolot,Operator,Typ
KRK,MUC,LH,1627,06:00,07:20,24-02-2025,03-03-2025,1......,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,02-03-2025,02-03-2025,......7,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,06-03-2025,10-03-2025,...4...,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,07-03-2025,09-03-2025,....5..,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,08-03-2025,08-03-2025,.....6.,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,14-03-2025,30-03-2025,....5..,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,15-03-2025,29-03-2025,.....6.,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,25-03-2025,27-03-2025,.2.....,319,LH,J
KRK,MUC,LH,1627,06:00,07:20,26-03-2025,26-03-2025,..3....,319,LH,J
MUC,KRK,LH,1622,11:25,12:45,02-12-2024,03-04-2025,1......,319,LH,J
MUC,KRK,LH,1622,11:25,12:45,30-11-2024,29-03-2025,.....6.,319,LH,J
MUC,KRK,LH,1622,11:25,12:45,01-12-2024,23-03-2025,......7,319,LH,J
MUC,KRK,LH,1622,11:25,12:45,03-12-2024,27-03-2025,.2.....,32A,LH,J
MUC,KRK,LH,1622,11:25,12:45,04-12-2024,26-03-2025,..3....,32A,LH,J
MUC,KRK,LH,1624,15:20,16:40,02-12-2024,30-03-2025,1......,319,LH,J
MUC,KRK,LH,1624,15:20,16:40,28-11-2024,27-03-2025,...4...,319,LH,J
MUC,KRK,LH,1624,15:20,16:40,03-12-2024,02-04-2025,.2.....,32A,LH,J
MUC,KRK,LH,1624,15:20,16:40,04-12-2024,01-04-2025,..3....,32A,LH,J
MUC,KRK,LH,1624,15:20,16:40,29-11-2024,30-03-2025,....5..,32A,LH,J
MUC,KRK,LH,1624,15:20,16:40,30-11-2024,29-03-2025,.....6.,32A,LH,J
MUC,KRK,LH,1626,22:15,23:35,28-11-2024,29-03-2025,...4...,32A,LH,J
MUC,KRK,LH,1626,22:15,23:35,29-11-2024,28-03-2025,....5..,32A,LH,J
